0.5 cpu, 128 ram, 1 iterations, object type, object 1: 0.063ms
0.5 cpu, 128 ram, 1 iterations, array_ type, array_ 1: 0.113ms
0.5 cpu, 128 ram, 1 iterations, map___ type, map___ 1: 0.059ms
1.0 cpu, 128 ram, 1 iterations, object type, object 1: 0.061ms
1.0 cpu, 128 ram, 1 iterations, array_ type, array_ 1: 0.065ms
1.0 cpu, 128 ram, 1 iterations, map___ type, map___ 1: 0.058ms
2.0 cpu, 128 ram, 1 iterations, object type, object 1: 0.083ms
2.0 cpu, 128 ram, 1 iterations, array_ type, array_ 1: 0.065ms
2.0 cpu, 128 ram, 1 iterations, map___ type, map___ 1: 0.073ms
3.0 cpu, 128 ram, 1 iterations, object type, object 1: 0.063ms
3.0 cpu, 128 ram, 1 iterations, array_ type, array_ 1: 0.063ms
3.0 cpu, 128 ram, 1 iterations, map___ type, map___ 1: 0.064ms
4.0 cpu, 128 ram, 1 iterations, object type, object 1: 0.059ms
4.0 cpu, 128 ram, 1 iterations, array_ type, array_ 1: 0.064ms
4.0 cpu, 128 ram, 1 iterations, map___ type, map___ 1: 0.059ms
0.5 cpu, 256 ram, 1 iterations, object type, object 1: 0.067ms
0.5 cpu, 256 ram, 1 iterations, array_ type, array_ 1: 0.06ms
0.5 cpu, 256 ram, 1 iterations, map___ type, map___ 1: 0.056ms
1.0 cpu, 256 ram, 1 iterations, object type, object 1: 0.059ms
1.0 cpu, 256 ram, 1 iterations, array_ type, array_ 1: 0.063ms
1.0 cpu, 256 ram, 1 iterations, map___ type, map___ 1: 0.061ms
2.0 cpu, 256 ram, 1 iterations, object type, object 1: 0.067ms
2.0 cpu, 256 ram, 1 iterations, array_ type, array_ 1: 0.058ms
2.0 cpu, 256 ram, 1 iterations, map___ type, map___ 1: 0.06ms
3.0 cpu, 256 ram, 1 iterations, object type, object 1: 0.079ms
3.0 cpu, 256 ram, 1 iterations, array_ type, array_ 1: 0.066ms
3.0 cpu, 256 ram, 1 iterations, map___ type, map___ 1: 0.07ms
4.0 cpu, 256 ram, 1 iterations, object type, object 1: 0.058ms
4.0 cpu, 256 ram, 1 iterations, array_ type, array_ 1: 0.065ms
4.0 cpu, 256 ram, 1 iterations, map___ type, map___ 1: 0.06ms
0.5 cpu, 512 ram, 1 iterations, object type, object 1: 0.072ms
0.5 cpu, 512 ram, 1 iterations, array_ type, array_ 1: 0.058ms
0.5 cpu, 512 ram, 1 iterations, map___ type, map___ 1: 0.068ms
1.0 cpu, 512 ram, 1 iterations, object type, object 1: 0.063ms
1.0 cpu, 512 ram, 1 iterations, array_ type, array_ 1: 0.07ms
1.0 cpu, 512 ram, 1 iterations, map___ type, map___ 1: 0.058ms
2.0 cpu, 512 ram, 1 iterations, object type, object 1: 0.056ms
2.0 cpu, 512 ram, 1 iterations, array_ type, array_ 1: 0.065ms
2.0 cpu, 512 ram, 1 iterations, map___ type, map___ 1: 0.057ms
3.0 cpu, 512 ram, 1 iterations, object type, object 1: 0.059ms
3.0 cpu, 512 ram, 1 iterations, array_ type, array_ 1: 0.06ms
3.0 cpu, 512 ram, 1 iterations, map___ type, map___ 1: 0.07ms
4.0 cpu, 512 ram, 1 iterations, object type, object 1: 0.072ms
4.0 cpu, 512 ram, 1 iterations, array_ type, array_ 1: 0.061ms
4.0 cpu, 512 ram, 1 iterations, map___ type, map___ 1: 0.064ms
0.5 cpu, 1024 ram, 1 iterations, object type, object 1: 0.064ms
0.5 cpu, 1024 ram, 1 iterations, array_ type, array_ 1: 0.059ms
0.5 cpu, 1024 ram, 1 iterations, map___ type, map___ 1: 0.068ms
1.0 cpu, 1024 ram, 1 iterations, object type, object 1: 0.064ms
1.0 cpu, 1024 ram, 1 iterations, array_ type, array_ 1: 0.072ms
1.0 cpu, 1024 ram, 1 iterations, map___ type, map___ 1: 0.06ms
2.0 cpu, 1024 ram, 1 iterations, object type, object 1: 0.06ms
2.0 cpu, 1024 ram, 1 iterations, array_ type, array_ 1: 0.062ms
